4
83
 	110
i	0011
o	0001
e	11111
G	11100
a	10110
l	10100
[	10010
]	10001
t	10000
d	01101
n	01011
u	01010
s	01000
r	00101
M	00000
>	111011
:	101111
V	101110
g	101011
P	101010
[newline]	100110
h	011111
y	011101
+	011001
m	010010
c	001000
w	1111010
E	1111001
A	1111000
I	1110101
p	1001110
D	0111100
k	0111001
R	0110001
f	0010011
H	0000111
1	0000101
N	0000100
Y	11110111
b	11101000
x	10011111
B	01111011
K	01111010
C	01100000
O	01001111
v	01001110
j	01001100
_	00100101
T	00001101
5	00001100
W	111101101
?	111010011
L	100111101
!	100111100
/	011100011
F	011100010
z	011100001
6	011100000
0	011000010
S	010011010
2	001001001
7	1111011001
U	1111011000
3	1110100100
4	0110000111
X	0110000110
'	0100110110
.	0010010000
,	11101001010
(	01001101110
q	00100100011
)	111010010111
9	010011011111
%	010011011110
<	001001000101
8	1110100101100
-	11101001011011
J	11101001011010
{	00100100010011
#	00100100010010
»	00100100010001
;	00100100010000
